CookerStat, GenerateAssetRegistry=0.026390, Initialize=0.136361, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
DDCTransactionId8002988E4C9C0EA82B8325971D4442D5_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_B65784A347C025B6F__5F3139063FF83AD4722D2A1C8F95A8AC0B205692, StartTime=2016.05.04-16.45.15, HierarchicalDDC=, DataSize=837, Duration=3.917061, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_0, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile.uasset, AutoPackageBackupDelegate=9.032767, FlushAsyncLoading=0.006597, FlushStreamingFunc=0.073310, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=0.094570, TagPackageExports=6.098822, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.560687, GatherLocalizableTextData=6.765593, MarkNames=0.049118, SerializeSummary=0.014663, SerializeNames=0.231665, SerializeGatherableTextData=0.055719, BuildExportMap=0.161652, SortExportsNonSeekfree=0.850785, SortExportsSeekfreeConstructor=0.052419, SortExportsSeekfreeInner=8.501987, SortExportsSeekfree=0.003666, BuildDependencyMap=0.066712, SerializeImportMap=0.014663, SerializeExportMap=0.039220, SerializeDependencyMap=0.010267, SerializeStringAssetReferenceMap=0.001464, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.031693, SerializeExports=7.669896, SerializeBulkData=0.016496, MoveFile=2.888124, UnaccountedTime=0.783708, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_1, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile.uasset, AutoPackageBackupDelegate=5.793843, FlushAsyncLoading=0.002932, FlushStreamingFunc=0.127196, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.075147, TagPackageExports=5.877051, BeginCacheForCookedPlatformData=0.002932, SerializeImports=6.301165, GatherLocalizableTextData=6.738834, MarkNames=0.048753, SerializeSummary=0.010263, SerializeNames=0.228368, SerializeGatherableTextData=0.068910, BuildExportMap=0.160921, SortExportsNonSeekfree=0.850785, SortExportsSeekfreeConstructor=0.008065, SortExportsSeekfreeInner=8.439672, SortExportsSeekfree=0.003301, BuildDependencyMap=0.065614, SerializeImportMap=0.012096, SerializeExportMap=0.039224, SerializeDependencyMap=0.033356, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.917498, SerializeExports=7.707287, SerializeBulkData=0.004400, MoveFile=3.090829, UnaccountedTime=0.127565, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_2, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_UP.uasset, AutoPackageBackupDelegate=9.194419, FlushAsyncLoading=0.005867, FlushStreamingFunc=0.069279, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.076611, TagPackageExports=5.947064, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.392438, GatherLocalizableTextData=7.378846, MarkNames=0.050221, SerializeSummary=0.013195, SerializeNames=0.248894, SerializeGatherableTextData=0.063047, BuildExportMap=0.172652, SortExportsNonSeekfree=0.984579, SortExportsSeekfreeConstructor=0.044718, SortExportsSeekfreeInner=8.850586, SortExportsSeekfree=0.004034, BuildDependencyMap=0.070743, SerializeImportMap=0.012830, SerializeExportMap=0.039954, SerializeDependencyMap=0.009894, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.144984, SerializeExports=7.699586, SerializeBulkData=0.004400, MoveFile=2.940543, UnaccountedTime=0.877913, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_3, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=9.473742, FlushAsyncLoading=0.005864, FlushStreamingFunc=0.035554, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.075512, TagPackageExports=5.914442, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.419927, GatherLocalizableTextData=7.558096, MarkNames=0.055350, SerializeSummary=0.010263, SerializeNames=0.233132, SerializeGatherableTextData=0.075147, BuildExportMap=0.168618, SortExportsNonSeekfree=0.989344, SortExportsSeekfreeConstructor=0.009164, SortExportsSeekfreeInner=8.908134, SortExportsSeekfree=0.004765, BuildDependencyMap=0.071481, SerializeImportMap=0.012830, SerializeExportMap=0.039954, SerializeDependencyMap=0.007696, SerializeStringAssetReferenceMap=0.001099, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.847313, SerializeExports=7.681627, SerializeBulkData=0.005499, MoveFile=2.768628, UnaccountedTime=0.808630, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_4, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=5.667746, FlushAsyncLoading=0.002932, FlushStreamingFunc=0.061948, BlockTillAllRequestsFinished=0.004768, ResetLoadersForSaveUnMarkAllObjects=0.076611, TagPackageExports=6.426159, BeginCacheForCookedPlatformData=0.004034, SerializeImports=6.624468, GatherLocalizableTextData=7.371150, MarkNames=0.053883, SerializeSummary=0.010632, SerializeNames=0.241198, SerializeGatherableTextData=0.077341, BuildExportMap=0.171185, SortExportsNonSeekfree=0.961855, SortExportsSeekfreeConstructor=0.046551, SortExportsSeekfreeInner=9.192221, SortExportsSeekfree=0.003666, BuildDependencyMap=0.071846, SerializeImportMap=0.013195, SerializeExportMap=0.040691, SerializeDependencyMap=0.008430, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.775098, SerializeExports=8.060649, SerializeBulkData=0.004400, MoveFile=3.199332, UnaccountedTime=0.806797, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_5, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_UP.uasset, AutoPackageBackupDelegate=5.999848, FlushAsyncLoading=0.003666, FlushStreamingFunc=0.034824, BlockTillAllRequestsFinished=0.003301, ResetLoadersForSaveUnMarkAllObjects=0.069279, TagPackageExports=6.100655, BeginCacheForCookedPlatformData=0.002563, SerializeImports=6.444123, GatherLocalizableTextData=7.275477, MarkNames=0.052419, SerializeSummary=0.010997, SerializeNames=0.253659, SerializeGatherableTextData=0.065248, BuildExportMap=0.175215, SortExportsNonSeekfree=0.948656, SortExportsSeekfreeConstructor=0.048019, SortExportsSeekfreeInner=8.602795, SortExportsSeekfree=0.003297, BuildDependencyMap=0.069279, SerializeImportMap=0.014294, SerializeExportMap=0.040323, SerializeDependencyMap=0.007331, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.216096, SerializeExports=7.935651, SerializeBulkData=0.006232, MoveFile=3.448594, UnaccountedTime=0.830259, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_6, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/Runner.umap, AutoPackageBackupDelegate=8.520312, FlushAsyncLoading=0.006232, FlushStreamingFunc=0.092007, BlockTillAllRequestsFinished=0.004031, ResetLoadersForSaveUnMarkAllObjects=0.655778, TagPackageExports=0.251826, BeginCacheForCookedPlatformData=0.001468, SerializeImports=0.596758, GatherLocalizableTextData=2.715107, MarkNames=0.026029, SerializeSummary=0.009894, SerializeNames=0.208575, SerializeGatherableTextData=0.008430, BuildExportMap=0.107769, SortExportsNonSeekfree=0.059016, SortExportsSeekfreeConstructor=0.044718, SortExportsSeekfreeInner=6.215390, SortExportsSeekfree=0.003297, BuildDependencyMap=0.032622, SerializeImportMap=0.013560, SerializeExportMap=0.010997, SerializeDependencyMap=0.015393, SerializeStringAssetReferenceMap=0.001833, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.377189, SerializeExports=1.048729, SerializeBulkData=0.917867, MoveFile=2.691284, UnaccountedTime=0.096403, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_7, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=5.738862, FlushAsyncLoading=0.002567, FlushStreamingFunc=0.084307, BlockTillAllRequestsFinished=0.005864, ResetLoadersForSaveUnMarkAllObjects=0.078443, TagPackageExports=5.970523, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.479677, GatherLocalizableTextData=7.341828, MarkNames=0.049118, SerializeSummary=0.010997, SerializeNames=0.236429, SerializeGatherableTextData=0.064883, BuildExportMap=0.181813, SortExportsNonSeekfree=0.932895, SortExportsSeekfreeConstructor=0.045087, SortExportsSeekfreeInner=8.739516, SortExportsSeekfree=0.004034, BuildDependencyMap=0.068180, SerializeImportMap=0.013195, SerializeExportMap=0.040323, SerializeDependencyMap=0.007331, SerializeStringAssetReferenceMap=0.001464, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.287577, SerializeExports=7.991001, SerializeBulkData=0.005867, MoveFile=3.432833, UnaccountedTime=0.793234, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_8, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=9.254169, FlushAsyncLoading=0.006229, FlushStreamingFunc=0.068549, BlockTillAllRequestsFinished=0.004396, ResetLoadersForSaveUnMarkAllObjects=0.078447, TagPackageExports=6.162602, BeginCacheForCookedPlatformData=0.003301, SerializeImports=6.974168, GatherLocalizableTextData=7.790126, MarkNames=0.052419, SerializeSummary=0.010997, SerializeNames=0.231300, SerializeGatherableTextData=0.060115, BuildExportMap=0.177782, SortExportsNonSeekfree=0.938758, SortExportsSeekfreeConstructor=0.045087, SortExportsSeekfreeInner=8.636150, SortExportsSeekfree=0.003666, BuildDependencyMap=0.073679, SerializeImportMap=0.013560, SerializeExportMap=0.041422, SerializeDependencyMap=0.007328, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.514477, SerializeExports=7.982571, SerializeBulkData=0.005867, MoveFile=3.015690, UnaccountedTime=0.884142, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_9, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=5.922507, FlushAsyncLoading=0.003297, FlushStreamingFunc=0.069648, BlockTillAllRequestsFinished=0.004400, ResetLoadersForSaveUnMarkAllObjects=0.074409, TagPackageExports=6.364945, BeginCacheForCookedPlatformData=0.002567, SerializeImports=6.769258, GatherLocalizableTextData=7.927220, MarkNames=0.057552, SerializeSummary=0.010993, SerializeNames=0.239000, SerializeGatherableTextData=0.101171, BuildExportMap=0.195742, SortExportsNonSeekfree=0.992276, SortExportsSeekfreeConstructor=0.048388, SortExportsSeekfreeInner=9.042296, SortExportsSeekfree=0.004031, BuildDependencyMap=0.078078, SerializeImportMap=0.019427, SerializeExportMap=0.054985, SerializeDependencyMap=0.007331, SerializeStringAssetReferenceMap=0.001099, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.691521, SerializeExports=8.110504, SerializeBulkData=0.008062, MoveFile=3.084600, UnaccountedTime=0.878278, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
SavePackageTransactionIdA0BCADF74E97FC436304909861BE2B55_10, Filename=C:/Users/Students/Documents/Unreal Projects/Arvind_VR_Proj/Content/ThirdPersonBP/BP_FloorTile_Down.uasset, AutoPackageBackupDelegate=5.759753, FlushAsyncLoading=0.002932, FlushStreamingFunc=0.055719, BlockTillAllRequestsFinished=0.004396, ResetLoadersForSaveUnMarkAllObjects=0.071846, TagPackageExports=6.064732, BeginCacheForCookedPlatformData=0.002563, SerializeImports=6.670289, GatherLocalizableTextData=10.929715, MarkNames=0.098236, SerializeSummary=0.014298, SerializeNames=0.359230, SerializeGatherableTextData=0.149556, BuildExportMap=0.273086, SortExportsNonSeekfree=1.549814, SortExportsSeekfreeConstructor=0.075147, SortExportsSeekfreeInner=9.326015, SortExportsSeekfree=0.004396, BuildDependencyMap=0.075880, SerializeImportMap=0.013195, SerializeExportMap=0.040688, SerializeDependencyMap=0.009898, SerializeStringAssetReferenceMap=0.001468, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.545631, SerializeExports=8.111604, SerializeBulkData=0.005864, MoveFile=3.632244, UnaccountedTime=0.900637, RunGuid=RunID39E69C54444C18EA71C3B094ED62280E
