CookerStat, GenerateAssetRegistry=6.909631, Initialize=51.136810, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId810E8F1A418DCA2FD12621ABB34EBAD9_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36E0D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.16-09.50.21, Duration=7169.948730, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__0FF31433F0E528C5B1E2348A2DE8C3FE13D73F51, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=4194569, Duration=9.615805, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__6C674366B8EFE5F9E1073830489EE141A5B0377E, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=1048841, Duration=2.255406, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__61CCCC10B1AC12B1C8949262208B9D5CE0057A40, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=262407, Duration=0.641976, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__98799F5A3EE842F974A96C4D563BBB40C83BADE3, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=65799, Duration=0.220839, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__0BB00B09700682C7B304DD45E5E7F42E20C6BB77, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=16647, Duration=0.181332, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5481C9BA4D8B69A211E0F0BDF6F36__393585C38D278C81632BBB03A5617A590D65DB53, StartTime=2016.06.16-09.50.28, HierarchicalDDC=, DataSize=7493, Duration=0.143800, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId810E8F1A418DCA2FD12621ABB34EBAD9_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C182_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.16-09.50.29, Duration=3594.361084, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionIdBB97CB8B4A16929C670E34B26F104E30_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__851B3A611387B539F0FE940A933D3F68ED5E92A2, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=2097417, Duration=4.385583, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__33E01652C2DB2513211FBB4C1DEE5D7F934C7634, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=524553, Duration=1.163851, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__D7A1E47C70D975DD014872CF7014EFC6289F944F, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=131335, Duration=0.401780, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__4AE428156E5E2D5C97FE83460B58FAA781A55BD3, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=33031, Duration=0.192001, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__B8B5D792EF1079E612D387C970A00CBE12A19F39, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=8455, Duration=0.142619, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId48BCBD214FA12E0BD260368A0D4AEA65_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1901E19242A50DAA6739EC94B717C__1E4B0BD9B70ECCEF4F83A630E98DBBEA1BE4B7AC, StartTime=2016.06.16-09.50.32, HierarchicalDDC=, DataSize=4749, Duration=0.150125, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId810E8F1A418DCA2FD12621ABB34EBAD9_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.16-09.50.33, Duration=841.293762, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
DDCTransactionId7C365118442E30D5D2131A8B85D5FC6A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_0BCB5E7F405958A7553FE19511956006___78CB0EA2B3733B74197BCF2DC92F9DC736E12A33, StartTime=2016.06.16-09.50.33, HierarchicalDDC=, DataSize=4194565, Duration=10.333635, RunGuid=RunID69DDCD9B4E1262E23F1D9D99ED7E8B73
